game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2025-12-28 00:00:00+00:00,Orlando Magic,Denver Nuggets,234.9999,225.8845,-141.9999,-99.2307,170.0001,113.6378,-3.4999,-2.3845,3.5001,2.3847,2.0891,2.067,2.08,2.12,2025
2025-12-28 00:00:00+00:00,New Orleans Pelicans,Phoenix Suns,241.4999,231.8845,-159.9999,-111.2307,183.0001,126.957,-4.4999,-2.9999,4.5001,3.0001,2.0754,2.0878,2.1,2.1,2025
2025-12-27 00:00:00+00:00,Orlando Magic,Charlotte Hornets,227.4999,218.2082,235.0001,196.8293,-189.9999,-159.3845,5.5001,4.4232,-5.4999,-4.423,,,,,2025
2025-12-27 00:00:00+00:00,Washington Wizards,Toronto Raptors,225.9999,216.2499,-259.9999,-241.3845,315.0001,302.8332,-8.4999,-7.4614,8.5001,7.4616,,,,,2025
2025-12-27 00:00:00+00:00,Atlanta Hawks,Miami Heat,250.4999,250.2499,150.0001,127.2824,-129.9999,-106.3845,3.0001,2.9584,-2.9999,-2.9582,,,,,2025
2025-12-27 00:00:00+00:00,Indiana Pacers,Boston Celtics,221.9999,213.2499,-259.9999,-243.6153,325.0001,299.2855,-8.4999,-6.9615,8.5001,6.9616,,,,,2025
2025-12-26 03:30:00+00:00,Denver Nuggets,Minnesota Timberwolves,238.9999,228.5416,105.0001,45.6155,115.0001,89.7008,-0.9999,-0.423,1.0001,0.4232,,,,,2025
2025-12-26 01:00:00+00:00,Los Angeles Lakers,Houston Rockets,231.4999,232.6817,-99.9999,-78.6153,130.0001,109.6186,-1.9999,-0.9166,2.0001,0.9168,,,,,2025
2025-12-25 22:17:00+00:00,Golden State Warriors,Dallas Mavericks,231.4999,231.1249,310.0001,314.1632,-259.9999,-258.3845,9.5001,9.0834,-9.4999,-9.0832,,,,,2025
2025-12-25 19:30:00+00:00,Oklahoma City Thunder,San Antonio Spurs,234.4999,226.4999,390.0001,388.857,-309.9999,-308.7691,10.5001,10.5001,-10.4999,-10.4999,,,,,2025
2025-12-25 17:00:00+00:00,New York Knicks,Cleveland Cavaliers,241.4999,241.6153,177.0001,177.0516,-154.9999,-153.923,4.5001,5.1924,-4.4999,-5.1922,,,,,2025
2025-12-24 00:00:00+00:00,Philadelphia 76ers,Brooklyn Nets,219.9999,211.6537,450.0001,353.6924,-349.9999,-279.3076,9.5001,7.6539,-9.4999,-7.6538,,,,,2025
2025-12-24 00:00:00+00:00,Charlotte Hornets,Washington Wizards,239.4999,230.5768,250.0001,214.9255,-199.9999,-175.923,6.5001,6.0385,-6.4999,-6.0384,,,,,2025
2025-12-23 03:00:00+00:00,Golden State Warriors,Orlando Magic,227.4999,218.5832,230.0001,178.0124,-189.9999,-146.3845,6.0001,3.9616,-5.9999,-3.9615,,,,,2025
2025-12-23 03:00:00+00:00,Portland Trail Blazers,Detroit Pistons,234.4999,225.2916,-199.9999,-154.3845,240.0001,191.3939,-5.9999,-4.0769,6.0001,4.077,,,,,2025
2025-12-23 02:30:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,233.9999,224.3749,1200.0001,789.7693,-724.9999,-506.8461,15.5001,11.3847,-15.4999,-11.3845,,,,,2025
2025-12-23 02:00:00+00:00,Denver Nuggets,Utah Jazz,251.4999,240.2499,-850.0001,482.7108,549.9999,-359.8461,12.5001,9.9168,-12.4999,-9.9166,,,,,2025
2025-12-23 01:00:00+00:00,New Orleans Pelicans,Dallas Mavericks,240.9999,230.6666,105.0001,32.0032,118.0001,91.2301,-0.9999,-1.2916,1.0001,1.2918,,,,,2025
